filtering_percentage,data_volume_mb,offloaded_end_to_end_latency_s,original_end_to_end_latency,smartnic_offload_time_s,filtering_time_s,transport_processing_time_s
95.7,17.80852161027624,5.194750069695458,8.196518658504024,0.3257275597279856,1.4229162886910554,3.4461062212764175
91.24,36.30665550831153,5.525421766366387,8.181067025100505,0.3323843809594566,1.3664619694257736,3.826575415981157
86.37,55.97513194027693,5.74274735337661,8.17610492990953,0.32491106129800273,1.4222170956187312,3.9956191964598764
80.92,78.87122813296249,5.9990452350340515,8.222333175930405,0.3453659202987072,1.3715064236590129,4.282172891076331
75.31,102.59338594727232,6.3570437196896545,8.201876579931954,0.3234585632436947,1.4561630188769867,4.577422137568973
71.08,119.04925835660869,6.504121730435706,8.18187025035687,0.34664106127263994,1.4290829764215582,4.728397692741508
65.76,142.27982755355313,6.872676910292509,8.217976137713002,0.3508493780933089,1.4135902104026774,5.108237321796523
60.43,163.59419386658521,7.17243105627915,8.224736397656724,0.347117181160411,1.4343251348258559,5.390988740292883
55.87,183.00259257391681,7.3017347211514325,8.192646843344775,0.3279444967806706,1.3948146872991336,5.578975537071629
49.95,205.6018227870317,7.623054934336479,8.196760531495494,0.33954542888285744,1.4233967667569003,5.860112738696722
40.18,246.4151470224122,8.15772854781773,8.195857228081335,0.3496279286883686,1.4546809023840228,6.3534197167453375
38.95,252.6868181962071,8.203813162318417,8.233822766451622,0.3237239835410246,1.432300168805853,6.4477890099715385
35.63,268.45087705344747,8.418002303381913,8.219678421451086,0.3411845774081608,1.4747854751762537,6.602032250797499
30.27,289.57457613853313,8.567976576627284,8.176562035036717,0.3288176771099793,1.4286210255757938,6.810537873941511
24.89,308.4112127061341,8.913911094556479,8.24591860051473,0.32879170900674903,1.4661241978070823,7.118995187742647
20.13,329.17455630685527,9.106037164283961,8.211619679690054,0.3271234855776848,1.4337757624859544,7.345137916220322
15.42,349.74413668664914,9.180851113328169,8.221948739096863,0.34832706660068297,1.4503982768102337,7.382125769917252
10.71,366.6975912383337,9.511803796787166,8.21578258502552,0.3212954653078221,1.4227623804244678,7.767745951054877
5.38,387.72976905895814,9.661580492135048,8.238994319782417,0.33239235888778945,1.4278357689621204,7.901352364285138
0.0,412.022175306544,9.955815291328138,8.217391743449895,0.35078112565005626,1.5018207697370825,8.103213395940998
