filtering_percentage,data_volume_mb,offloaded_end_to_end_latency_s,original_end_to_end_latency,smartnic_offload_time_s,filtering_time_s,transport_processing_time_s
95.7,17.80852161027624,4.919969765108447,8.196518658504024,0.3257275597279856,1.4229162886910554,3.171325916689406
91.24,36.30665550831153,5.354161145033949,8.181067025100505,0.3323843809594566,1.3664619694257736,3.655314794648719
86.37,55.97513194027693,5.552417867418473,8.17610492990953,0.32491106129800273,1.4222170956187312,3.8052897105017394
80.92,78.87122813296249,5.798732551417506,8.222333175930405,0.3453659202987072,1.3715064236590129,4.081860207459785
75.31,102.59338594727232,6.235613770833537,8.201876579931954,0.3234585632436947,1.4561630188769867,4.455992188712855
71.08,119.04925835660869,6.324839255484838,8.18187025035687,0.34664106127263994,1.4290829764215582,4.549115217790639
65.76,142.27982755355313,6.797082398835518,8.217976137713002,0.3508493780933089,1.4135902104026774,5.0326428103395315
60.43,163.59419386658521,7.134156621651739,8.224736397656724,0.347117181160411,1.4343251348258559,5.352714305665472
55.87,183.00259257391681,7.170652083941724,8.192646843344775,0.3279444967806706,1.3948146872991336,5.4478928998619205
49.95,205.6018227870317,7.521423823979355,8.196760531495494,0.33954542888285744,1.4233967667569003,5.758481628339598
45.0,226.560232133612,7.835651515516508,8.195857228081335,0.3496279286883686,1.4512769341006335,6.034746652727506
42.5,237.99331771141533,7.965210323431589,8.233822766451622,0.3237239835410246,1.4298331419994872,6.211653197891077
40.18,249.47539949257776,8.250605734644473,8.219678421451086,0.3411845774081608,1.4715349561743059,6.437886201062007
38.95,253.5282930339516,8.179291843049091,8.176562035036717,0.3288176771099793,1.422629697962048,6.427844467977064
35.63,264.31140676200044,8.588887384489313,8.24591860051473,0.32879170900674903,1.458536082533941,6.801559592948623
30.27,287.38377126927537,8.859078924792684,8.211619679690054,0.3271234855776848,1.4267856687629776,7.1051697704520205
24.89,310.58503318200775,8.905478314101831,8.221948739096863,0.34832706660068297,1.4438092892533194,7.113341958247828
20.13,328.0113855101995,9.418994690859364,8.21578258502552,0.3212954653078221,1.4163475593016948,7.6813516662498476
15.42,346.5882885965619,9.525341770237906,8.238994319782417,0.33239235888778945,1.4209918205989902,7.771957590751127
10.71,367.8946003312131,9.911727775994823,8.217391743449895,0.35078112565005626,1.4941614838114234,8.066785166533343
5.38,386.96252521286857,10.08074331829377,8.229927506815532,0.33623850606869465,1.4457206699338925,8.298784142291183
0.0,414.1643444562692,10.109195055304507,8.209640965342466,0.33344974416202844,1.5100265648073592,8.26571874633512
